"ReportId","CommitteeContactId","FirstName","MiddleName","LastOrCompanyName","Prefix","Suffix","AddressLine1","AddressLine2","City","StateCode","ZipCode","IsIndividual","TransactionDate","Amount","ScheduleCId","ReceiptType","ScheduleId","ReportUID"
"391428","2981","","","Wells Fargo Bank","","","9801 W Broad Street","","Glen Allen","VA","23060","False","12/29/2023","2.88","77354","Interest earned","","{9F572280-19B5-7588-E3DF-0C3D7A061334}"
"391430","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","01/25/2021","3.37","77355","Interest","","{255CE377-E512-CD84-E729-7200A028A72F}"
"391430","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","01/25/2021","1.86","77356","interest","","{255CE377-E512-CD84-E729-7200A028A72F}"
"391430","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","02/25/2021","3.08","77357","Interest","","{255CE377-E512-CD84-E729-7200A028A72F}"
"391430","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","02/25/2021","1.80","77358","interest","","{255CE377-E512-CD84-E729-7200A028A72F}"
"391430","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","03/25/2021","3.57","77359","Interest","","{255CE377-E512-CD84-E729-7200A028A72F}"
"391430","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","03/25/2021","2.12","77360","interest","","{255CE377-E512-CD84-E729-7200A028A72F}"
"391432","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","04/30/2021","3.20","77361","Bank interest","","{8542DDAF-0FC4-E9F5-BBDE-357F9D23ECDA}"
"391432","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","06/30/2021","3.37","77362","bank interest","","{8542DDAF-0FC4-E9F5-BBDE-357F9D23ECDA}"
"391434","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","07/28/2021","2.94","77363","bank interest","","{AEC717E4-34B5-3F2C-B874-B1D9D9F3CFC9}"
"391434","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","07/30/2021","2.90","77364","interest","","{AEC717E4-34B5-3F2C-B874-B1D9D9F3CFC9}"
"391434","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","08/24/2021","2.92","77365","interest","","{AEC717E4-34B5-3F2C-B874-B1D9D9F3CFC9}"
"391434","742153","","","Primis Bank","","","PO Box 2075","","Ashland","VA","23005","False","09/30/2021","2.59","77366","interest","","{AEC717E4-34B5-3F2C-B874-B1D9D9F3CFC9}"
